title,authors,first_year,publishers,pages,rating,popularity,availability,level,url
The Importance of Being Earnest,Oscar Wilde,1893,Turtleback; Benediction Classics,101,4.0677967,55.24,Full Text Available,Beginner,https://openlibrary.org/works/OL27776452W
Julius Caesar,William Shakespeare,1656,Éditions du jour; B. Tauchnitz,139,3.6,58.03,Full Text Available,Beginner,https://openlibrary.org/works/OL362702W
The Curious Incident of the Dog in the Night-Time,Mark Haddon,2002,Seal Books; Jonathan Cape,264,3.9466667,78.04,Full Text Available,Beginner,https://openlibrary.org/works/OL2965102W
A Clockwork Orange,Anthony Burgess,1962,W.W. Norton and Co.; Paperview U.K. Ltd.,192,4.047619,68.18,Full Text Available,Beginner,https://openlibrary.org/works/OL261794W
The Taming of the Shrew,William Shakespeare,1631,Washington Square; J. Thomas,139,3.28125,47.69,Full Text Available,Beginner,https://openlibrary.org/works/OL362690W
King Lear,William Shakespeare,1608,Random House Value Publishing; Sifriyat poʻalim,194,4.0625,54.11,Full Text Available,Beginner,https://openlibrary.org/works/OL259026W
Othello,William Shakespeare,1622,Independently published; Barnes & Noble,180,3.7804878,55.53,Full Text Available,Beginner,https://openlibrary.org/works/OL258850W
Анна Каренина,Лев Толстой,1876,Foreign Language Teaching and Research Press Pub.; Quality Paperback Book Club,656,4.1860466,69.97,Full Text Available,Intermediate,https://openlibrary.org/works/OL267096W
Twelfth Night,William Shakespeare,1734,Penguin Books; Simon & Schuster,154,3.7058823,50.88,Full Text Available,Beginner,https://openlibrary.org/works/OL362694W
Man and Superman,George Bernard Shaw,1903,"Dodd, Mead & Co.,; W.H. Wise",244,3.0,44.62,Full Text Available,Beginner,https://openlibrary.org/works/OL1066526W
As You Like It,William Shakespeare,1734,Vertriebsselle und Verlag Deutscher Bühnenschriftsteller und Bühnenkomponisten; H. Holt,148,3.6,50.28,Full Text Available,Beginner,https://openlibrary.org/works/OL362698W
King Henry V,William Shakespeare,1600,Heritage Press; Penguin Books,166,3.5454545,47.31,Full Text Available,Beginner,https://openlibrary.org/works/OL361466W
Plays (36),William Shakespeare,1623,Chatto and Windus; Printed by Isaac Iaggard and Ed. Blount,889,3.5714285,48.36,Full Text Available,Advanced,https://openlibrary.org/works/OL362289W
Crooked House,Agatha Christie,1949,Econo-Clad Books; W. Collins Sons & Co. Ltd.,215,4.3,53.42,Full Text Available,Beginner,https://openlibrary.org/works/OL471891W
It Can't Happen Here,Sinclair Lewis,1935,"Doubleday, Doran & Company, Inc.; Triangle Books",415,3.7368422,49.26,Full Text Available,Intermediate,https://openlibrary.org/works/OL51145W
The Witches,Roald Dahl,1983,Penguin Group UK; Santillana USA Publishing Company,208,4.1494255,67.75,Full Text Available,Beginner,https://openlibrary.org/works/OL45886W
Die Blechtrommel,Günter Grass,1959,Secker & Warburg; RBA,591,2.9285715,44.95,Full Text Available,Intermediate,https://openlibrary.org/works/OL67334W
Pride and Prejudice,Jane Austen,1813,Cambridge University Press; The Book League of America,351,4.1282053,80.02,Full Text Available,Beginner,https://openlibrary.org/works/OL66554W
Catch-22,Joseph Heller,1961,Cram Cassettes Study Guides; Perfection Learning,463,4.1041665,72.48,Full Text Available,Intermediate,https://openlibrary.org/works/OL276798W
The Godfather,Mario Puzo,1969,Fawcett Crest; B & B Audio,450,4.2,65.16,Full Text Available,Intermediate,https://openlibrary.org/works/OL1673205W
The Picture of Dorian Gray,Oscar Wilde,1890,John Lane the Bodley Head Ltd.; Bookbyte Digital,246,4.115044,77.59,Full Text Available,Beginner,https://openlibrary.org/works/OL8193416W
Of Mice and Men,John Steinbeck,1937,dtv; Perfection Learning Prebound,119,3.9714286,78.69,Full Text Available,Beginner,https://openlibrary.org/works/OL23204W
The Kite Runner,Khaled Hosseini,2003,Berlin Verlag Taschenbuch; Intishārāt-i Murvārīd,371,4.0901637,77.58,Full Text Available,Beginner,https://openlibrary.org/works/OL5781992W
The Martian Chronicles,Ray Bradbury,1950,Blackstone Pub; Pocket Books,262,4.0857143,61.97,Full Text Available,Beginner,https://openlibrary.org/works/OL103134W
The BFG,Roald Dahl,1980,Farrar Straus Giroux; Gallimard jeunesse,208,4.120301,77.81,Full Text Available,Beginner,https://openlibrary.org/works/OL45885W
Black Beauty,Anna Sewell,1877,"Independently published; Scholastic Canada, Limited",229,4.2727275,56.05,Full Text Available,Beginner,https://openlibrary.org/works/OL15854658W
Study Guide,SuperSummary,2017,Independently Published; Independently published,53,4.1,65.04,Metadata Only,Beginner,https://openlibrary.org/works/OL21868175W
The Pilgrim's Progress,John Bunyan,1678,"Baker & Taylor,[19--]; Bookthrift Co",308,4.3333335,55.37,Full Text Available,Beginner,https://openlibrary.org/works/OL107195W
Die Leiden des jungen Werthers,Johann Wolfgang von Goethe,1779,Andrés Bello; Edition Simile,180,3.689655,48.35,Full Text Available,Beginner,https://openlibrary.org/works/OL52556W
Rebecca,Daphne du Maurier,1938,Greenpark Media Ltd; IM Bertelsmann Lesering,399,4.181818,65.61,Full Text Available,Beginner,https://openlibrary.org/works/OL36633W
... Trotzdem Ja zum Leben sagen,Viktor E. Frankl,1946,Ares; Xin hua chu ban she,165,4.2663317,79.06,Full Text Available,Beginner,https://openlibrary.org/works/OL1268413W
Slaughterhouse-Five,Kurt Vonnegut,1968,"Random House, Incorporated; Seuil",205,4.1825395,77.61,Full Text Available,Beginner,https://openlibrary.org/works/OL98459W
Nineteen Eighty-Four,George Orwell,1949,Hayat Yayinlari; Editora Aleph,320,4.2961955,80.86,Full Text Available,Beginner,https://openlibrary.org/works/OL1168083W
Animal Farm,George Orwell,1945,Andrés Bello; Zhi wen,128,4.1314816,81.93,Full Text Available,Beginner,https://openlibrary.org/works/OL1168007W
Guess How Much I Love You,Sam McBratney; Anita Jeram,1994,Kókinos; Walker Éireann,32,4.2987013,74.62,Full Text Available,Beginner,https://openlibrary.org/works/OL58402W
Angels & Demons,Dan Brown,2000,Washington Square/Pocket Bks; Simon & Schuster Audio,576,3.6275303,76.98,Full Text Available,Intermediate,https://openlibrary.org/works/OL76833W
The Railway Children,Edith Nesbit,1900,Parragon Plus; Turtleback,176,3.5714285,51.16,Full Text Available,Beginner,https://openlibrary.org/works/OL99509W
Peter Pan,J. M. Barrie,1911,Printers Row Publishing Group; Malibu Comics Entertainment,176,3.7179487,58.92,Full Text Available,Beginner,https://openlibrary.org/works/OL462007W
Συμπόσιον,Πλάτων,1559,Fortune Press; Fondazione Lorenzo Valla,128,4.185185,52.29,Full Text Available,Beginner,https://openlibrary.org/works/OL51815W
Daisy Miller,Henry James,1877,Houghton Mifflin Company; printed for the members of the Limited Editions Club at the University Printing House,75,3.0,45.12,Full Text Available,Beginner,https://openlibrary.org/works/OL276328W
Jenseits von Gut und Böse,Friedrich Nietzsche,1885,Spastic Cat Press; SN Publishing,204,4.2105265,59.03,Full Text Available,Beginner,https://openlibrary.org/works/OL98174W
The Ugly Duckling,Hans Christian Andersen,1851,Ward; Capstone,32,4.3913045,55.9,Full Text Available,Beginner,https://openlibrary.org/works/OL15155002W
Lolita,Vladimir Nabokov,1777,Modern; Rowohlt,336,3.9313726,76.75,Full Text Available,Beginner,https://openlibrary.org/works/OL627084W
Dracula,Bram Stoker,1897,Heyne; Cambridge University Press,408,4.0287356,77.85,Full Text Available,Intermediate,https://openlibrary.org/works/OL85892W
La Peste,Albert Camus,1942,Büchergilde Gutenberg; French & European Pubns,278,4.1153846,64.86,Full Text Available,Beginner,https://openlibrary.org/works/OL1230715W
Fahrenheit 451,Ray Bradbury,1953,Brand: Caedmon; Collins Educational,188,3.973301,80.01,Full Text Available,Beginner,https://openlibrary.org/works/OL103123W
Бѣсы,Фёдор Михайлович Достоевский,1871,Vintage Books; Modern Library,704,3.6666667,49.18,Full Text Available,Intermediate,https://openlibrary.org/works/OL166971W
Daddy-Long-Legs,Jean Webster,1912,Hodder and Stoughton; Canongate Books Ltd,196,4.8,52.09,Full Text Available,Beginner,https://openlibrary.org/works/OL4322177W
Смерть Ивана Ильича,Лев Толстой; Anthony Briggs; Anthony Horvath; Constance Black Garnett; Zinc Read,1887,Independently published; Blackstone Pub,92,4.139535,52.05,Full Text Available,Beginner,https://openlibrary.org/works/OL267174W
Gone With the Wind,Margaret Mitchell,1936,Punto de Lectura; Pocket Books,947,3.5,59.94,Full Text Available,Advanced,https://openlibrary.org/works/OL267933W
"Ramayana, a Holy Bible of India",Vālmīki; Robert P. Goldman; Rosalind Lefeber; Sheldon I. Pollock,1823,Indian Heritage Trust; E.P. Duttion,399,4.2352943,56.47,Full Text Available,Beginner,https://openlibrary.org/works/OL308980W
Harry Potter and the Goblet of Fire,J. K. Rowling,2000,Bloomsbury; Paw Prints 2008-04-03,666,4.2699385,80.34,Full Text Available,Intermediate,https://openlibrary.org/works/OL82560W
Sonnets,William Shakespeare,1609,Golden Section Press [i.e. London College of Printing]; Octagon Books,175,4.1666665,53.83,Full Text Available,Beginner,https://openlibrary.org/works/OL362706W
The Age of Innocence,Edith Wharton,1920,HarperCollins Publishers Limited; Tusquets Editores,348,3.5217392,56.69,Full Text Available,Beginner,https://openlibrary.org/works/OL98491W
Orlando,Virginia Woolf,1928,Edição Livros do Brasil; Warbler Press,226,4.2777777,55.73,Full Text Available,Beginner,https://openlibrary.org/works/OL39360W
"Villette, a novel",Charlotte Brontë,1853,"HarperCollins Publishers Limited; E.P. Dutton & co., inc.",538,3.4,46.19,Full Text Available,Intermediate,https://openlibrary.org/works/OL1095403W
Der Antichrist,Friedrich Nietzsche,1895,Edivisión Compañía Editorial; Cambridge University Press,92,3.75,51.38,Full Text Available,Beginner,https://openlibrary.org/works/OL15692719W
The Man Who Was Thursday,Gilbert Keith Chesterton,1908,"Penguin (Non-Classics); BorderStone Press, LLC",162,3.4642856,48.88,Full Text Available,Beginner,https://openlibrary.org/works/OL76487W
Cranford,Elizabeth Cleghorn Gaskell,1853,Book Jungle; ReadHowYouWant.com,244,4.0,48.95,Full Text Available,Beginner,https://openlibrary.org/works/OL1103093W
Hard Times,Charles Dickens,1854,W W Norton; Quiet Vision Pub,327,3.9473684,53.12,Full Text Available,Beginner,https://openlibrary.org/works/OL8193387W
Aeneis,Publius Vergilius Maro,1710,B. H. Sanborn; Wordsworth Editions Ltd.,360,3.1666667,45.25,Full Text Available,Beginner,https://openlibrary.org/works/OL16280231W
A Portrait of the Artist as a Young Man,James Joyce,1818,Read Books; Jonathan Cape,281,3.3055556,49.04,Full Text Available,Beginner,https://openlibrary.org/works/OL86343W
