title,subtitle,authors,publisher,publishedDate,pageCount,categories,language,isbn_10,isbn_13,avg_rating,ratings_count,previewLink,infoLink,popularity
"Genealogical chronology of the world before Christ, ed. by K.A. McMurdo",,Albert Welles,,1889,486,,en,,,,,http://books.google.cz/books?id=0kvVIkv4ZUAC&pg=RA4-PA3&dq=King&hl=&as_pt=BOOKS&cd=23&source=gbs_api,https://play.google.com/store/books/details?id=0kvVIkv4ZUAC&source=gbs_api,4.86
Miscellanea genealogica et heraldica,,,,1898,404,,en,,,,,http://books.google.cz/books?id=NHu-4nCsevYC&pg=PA331&dq=King&hl=&as_pt=BOOKS&cd=24&source=gbs_api,https://play.google.com/store/books/details?id=NHu-4nCsevYC&source=gbs_api,4.04
Catalogue of the Guildhall Library of the City of London,With Additions to June 1889,Guildhall (London). - Library,,1889,1152,Library catalogs,en,,,,,http://books.google.cz/books?id=6dqu0cirqREC&pg=PA494&dq=King&hl=&as_pt=BOOKS&cd=25&source=gbs_api,https://play.google.com/store/books/details?id=6dqu0cirqREC&source=gbs_api,20
Catalogue of Printed Books,,British Museum,,1888,666,,en,,,,,http://books.google.cz/books?id=Do6_z2xm158C&pg=PA47&dq=King&hl=&as_pt=BOOKS&cd=26&source=gbs_api,https://play.google.com/store/books/details?id=Do6_z2xm158C&source=gbs_api,6.66
The Medical Directory for 1873 and General Medical Register Including the London and Provincial Medical Directory...,,John Churchill (Londres),,1874,1280,,en,,,,,http://books.google.cz/books?id=OUZEC68H460C&pg=PA493&dq=King&hl=&as_pt=BOOKS&cd=27&source=gbs_api,https://play.google.com/store/books/details?id=OUZEC68H460C&source=gbs_api,10
The Works of Francis Bacon ...,,Francis Bacon,,1878,782,,en,,,,,http://books.google.cz/books?id=BuqZIH6T0YsC&pg=PA231&dq=King&hl=&as_pt=BOOKS&cd=28&source=gbs_api,https://play.google.com/store/books/details?id=BuqZIH6T0YsC&source=gbs_api,7.82
"Mr. William Shakespeare's Comedies, Histories, Tragedies, & Sonnets",,William Shakespeare,,1896,1126,,en,,,,,http://books.google.cz/books?id=isMjI_-SdNYC&pg=PA551&dq=King&hl=&as_pt=BOOKS&cd=29&source=gbs_api,https://play.google.com/store/books/details?id=isMjI_-SdNYC&source=gbs_api,10
Shakspere's Werke,,Shakespeare,,1876,878,,en,,,,,http://books.google.cz/books?id=2JJghz0QDN0C&pg=PA404&dq=King&hl=&as_pt=BOOKS&cd=30&source=gbs_api,https://play.google.com/store/books/details?id=2JJghz0QDN0C&source=gbs_api,8.78
"The Marriage, Baptismal, and Burial Registers of the Collegiate Church Or Abbey of St. Peter, Westminster",,Joseph Lemuel Chester,,1876,660,Church records and registers,en,,,,,http://books.google.cz/books?id=vsfJouiXoIQC&pg=PA582&dq=King&hl=&as_pt=BOOKS&cd=31&source=gbs_api,https://play.google.com/store/books/details?id=vsfJouiXoIQC&source=gbs_api,16.6
The Works of the British Dramatists,,Sir John Scott Keltie,,1875,606,Drama,en,,,,,http://books.google.cz/books?id=Q9wVMYzN--EC&pg=PA255&dq=King&hl=&as_pt=BOOKS&cd=32&source=gbs_api,https://play.google.com/store/books/details?id=Q9wVMYzN--EC&source=gbs_api,16.06
The Writings of Mark Twain: A Connecticut yankee in King Arthur's court,,Mark Twain,,1917,478,,en,,,,,http://books.google.cz/books?id=oZ_8NyNTtVYC&q=King&dq=King&hl=&as_pt=BOOKS&cd=33&source=gbs_api,http://books.google.cz/books?id=oZ_8NyNTtVYC&dq=King&hl=&as_pt=BOOKS&source=gbs_api,4.78
"Selections from the book of 2 Samuel: annotated and prepared, by H.M. Clifford. Stereotyped ed",,"Samuel (the prophet, book 2)",,1886,136,,en,,,,,http://books.google.cz/books?id=AyospLD72agC&pg=PA78&dq=King&hl=&as_pt=BOOKS&cd=34&source=gbs_api,https://play.google.com/store/books/details?id=AyospLD72agC&source=gbs_api,1.36
King Henry V,Parallel Texts of the First and Third Quartos and the First Folio,William Shakespeare,,1908,222,,en,,,,,http://books.google.cz/books?id=NTsPAAAAMAAJ&q=King&dq=King&hl=&as_pt=BOOKS&cd=35&source=gbs_api,http://books.google.cz/books?id=NTsPAAAAMAAJ&dq=King&hl=&as_pt=BOOKS&source=gbs_api,2.22
The Nineteenth Century and After,,,,1914,1430,Nineteenth century,en,,,,,http://books.google.cz/books?id=lYhLI4jtVRoC&pg=PA359&dq=King&hl=&as_pt=BOOKS&cd=36&source=gbs_api,https://play.google.com/store/books/details?id=lYhLI4jtVRoC&source=gbs_api,20
An English Garner,,,,1897,656,,en,,,,,http://books.google.cz/books?id=5LTeQDb7HU8C&pg=PA443&dq=King&hl=&as_pt=BOOKS&cd=37&source=gbs_api,https://play.google.com/store/books/details?id=5LTeQDb7HU8C&source=gbs_api,6.56
King Henry the Fifth,,William Shakespeare,,1908,256,,en,,,5,1,http://books.google.cz/books?id=DBwlAAAAMAAJ&q=King&dq=King&hl=&as_pt=BOOKS&cd=38&source=gbs_api,http://books.google.cz/books?id=DBwlAAAAMAAJ&dq=King&hl=&as_pt=BOOKS&source=gbs_api,52.66
"Calendar of the Manuscripts of the Most Hon. the Marquis of Salisbury, K. G., etc. preserved at Hatfield House, Hertfordshire",Historical Manuscripts Commission. Presented to both Houses of Parliament by Command of Her Majesty,,,1889,538,,en,,,,,http://books.google.cz/books?id=ZPvRwLZKE04C&pg=PA29&dq=King&hl=&as_pt=BOOKS&cd=39&source=gbs_api,https://play.google.com/store/books/details?id=ZPvRwLZKE04C&source=gbs_api,5.38
The Cornhill Magazine,,William Makepeace Thackeray,,1886,698,Electronic journals,en,,,,,http://books.google.cz/books?id=kuBSNI-w1psC&pg=PA212&dq=King&hl=&as_pt=BOOKS&cd=40&source=gbs_api,https://play.google.com/store/books/details?id=kuBSNI-w1psC&source=gbs_api,16.98
